"","lon","lat"
"1",-80,48
"2",-79.75,48
"3",-79.5,48
"4",-79.25,48
"5",-79,48
"6",-78.75,48
"7",-78.5,48
"8",-78.25,48
"9",-78,48
"10",-77.75,48
"11",-77.5,48
"12",-77.25,48
"13",-77,48
"14",-76.75,48
"15",-76.5,48
"16",-76.25,48
"17",-76,48
"18",-75.75,48
"19",-75.5,48
"20",-75.25,48
"21",-75,48
"22",-74.75,48
"23",-74.5,48
"24",-74.25,48
"25",-74,48
"26",-73.75,48
"27",-73.5,48
"28",-73.25,48
"29",-73,48
"30",-72.75,48
"31",-72.5,48
"32",-72.25,48
"33",-72,48
"34",-71.75,48
"35",-71.5,48
"36",-71.25,48
"37",-71,48
"38",-70.75,48
"39",-70.5,48
"40",-70.25,48
"41",-70,48
"42",-69.75,48
"43",-69.5,48
"44",-69.25,48
"45",-69,48
"46",-68.75,48
"47",-68.5,48
"48",-68.25,48
"49",-68,48
"50",-67.75,48
"51",-67.5,48
"52",-67.25,48
"53",-67,48
"54",-66.75,48
"55",-66.5,48
"56",-66.25,48
"57",-66,48
"58",-80,47.75
"59",-79.75,47.75
"60",-79.5,47.75
"61",-79.25,47.75
"62",-79,47.75
"63",-78.75,47.75
"64",-78.5,47.75
"65",-78.25,47.75
"66",-78,47.75
"67",-77.75,47.75
"68",-77.5,47.75
"69",-77.25,47.75
"70",-77,47.75
"71",-76.75,47.75
"72",-76.5,47.75
"73",-76.25,47.75
"74",-76,47.75
"75",-75.75,47.75
"76",-75.5,47.75
"77",-75.25,47.75
"78",-75,47.75
"79",-74.75,47.75
"80",-74.5,47.75
"81",-74.25,47.75
"82",-74,47.75
"83",-73.75,47.75
"84",-73.5,47.75
"85",-73.25,47.75
"86",-73,47.75
"87",-72.75,47.75
"88",-72.5,47.75
"89",-72.25,47.75
"90",-72,47.75
"91",-71.75,47.75
"92",-71.5,47.75
"93",-71.25,47.75
"94",-71,47.75
"95",-70.75,47.75
"96",-70.5,47.75
"97",-70.25,47.75
"98",-70,47.75
"99",-69.75,47.75
"100",-69.5,47.75
"101",-69.25,47.75
"102",-69,47.75
"103",-68.75,47.75
"104",-68.5,47.75
"105",-68.25,47.75
"106",-68,47.75
"107",-67.75,47.75
"108",-67.5,47.75
"109",-67.25,47.75
"110",-67,47.75
"111",-66.75,47.75
"112",-66.5,47.75
"113",-66.25,47.75
"114",-66,47.75
"115",-80,47.5
"116",-79.75,47.5
"117",-79.5,47.5
"118",-79.25,47.5
"119",-79,47.5
"120",-78.75,47.5
"121",-78.5,47.5
"122",-78.25,47.5
"123",-78,47.5
"124",-77.75,47.5
"125",-77.5,47.5
"126",-77.25,47.5
"127",-77,47.5
"128",-76.75,47.5
"129",-76.5,47.5
"130",-76.25,47.5
"131",-76,47.5
"132",-75.75,47.5
"133",-75.5,47.5
"134",-75.25,47.5
"135",-75,47.5
"136",-74.75,47.5
"137",-74.5,47.5
"138",-74.25,47.5
"139",-74,47.5
